iter	RMSE
0	110256.7601
1	105354.2942
2	101091.1827
3	97335.30716
4	94124.59028
5	91279.73448
6	88775.15077
7	86660.45172
8	84857.09552
9	83109.70273
10	81631.83165
11	80427.86354
12	79305.23646
13	78337.18702
14	77412.29858
15	76569.58447
16	75859.03766
17	75242.73339
18	74690.08025
19	74194.7898
20	73738.6173
21	73337.35605
22	72890.59949
23	72609.19755
24	72279.24033
25	71997.44292
26	71714.8618
27	71440.46921
28	71179.18152
29	70965.00421
30	70725.26979
31	70462.60801
32	70251.21344
33	70035.19641
34	69849.55954
35	69671.41915
36	69489.31566
37	69259.06468
38	69113.71667
39	68933.66421
40	68786.44868
41	68611.93031
42	68486.23191
43	68359.78503
44	68234.48007
45	68069.53554
46	67935.86161
47	67847.64953
48	67685.90054
49	67545.58092
50	67442.68153
51	67331.01064
52	67262.86281
53	67142.58522
54	67031.23144
55	66895.42857
56	66788.3409
57	66710.26222
58	66621.2248
59	66506.35167
60	66394.41214
61	66285.17927
62	66219.31099
63	66135.55395
64	66040.3642
65	65948.38945
66	65871.54098
67	65783.57496
68	65691.80235
69	65618.45385
70	65556.1147
71	65500.83051
72	65412.14524
73	65339.94475
74	65286.37072
75	65205.1887
76	65142.23576
77	65078.60363
78	65016.86289
79	64959.30501
80	64901.21327
81	64845.15035
82	64772.53873
83	64695.4625
84	64636.63897
85	64589.10293
86	64531.05851
87	64470.09541
88	64412.93816
89	64342.95182
90	64260.61899
91	64210.41226
92	64159.91831
93	64106.13655
94	64053.89661
95	64002.54929
96	63972.51164
97	63895.65178
98	63872.7128
99	63830.48712
100	63782.62121
101	63718.25579
102	63684.42628
103	63626.8443
104	63576.38541
105	63529.98015
106	63506.17589
107	63425.9497
108	63396.58851
109	63337.75764
110	63294.10544
111	63277.60848
112	63194.74948
113	63135.93254
114	63107.48376
115	63055.1741
116	63021.0319
117	62958.3546
118	62890.36173
119	62873.97374
120	62853.91302
121	62820.20569
122	62803.88819
123	62745.2781
124	62696.41021
125	62672.05528
126	62636.35986
127	62592.20147
128	62559.41239
129	62504.13564
130	62441.76712
131	62373.60874
132	62324.02883
133	62298.26854
134	62276.89457
135	62242.85815
136	62211.80475
137	62152.04595
138	62112.98375
139	62098.96589
140	62056.50371
141	62041.44221
142	62018.33218
143	61974.39517
144	61912.19015
145	61882.20577
146	61862.41611
147	61816.65828
148	61791.46584
149	61746.20581
150	61686.50016
151	61657.40578
152	61590.91858
153	61537.45718
154	61511.50697
155	61483.75365
156	61436.34833
157	61381.73727
158	61363.46999
159	61349.46549
160	61316.20001
161	61261.60282
162	61227.23642
163	61167.93109
164	61136.70902
165	61088.94676
166	61067.88439
167	61035.65397
168	61003.71775
169	60945.5975
170	60919.68456
171	60898.37006
172	60860.95279
173	60832.72221
174	60797.34736
175	60742.61308
176	60714.79598
177	60660.1472
178	60627.22307
179	60608.28222
180	60575.76362
181	60536.88549
182	60505.36657
183	60478.48198
184	60435.61864
185	60418.34555
186	60393.31284
187	60362.98393
188	60350.87404
189	60309.95624
190	60289.02771
191	60265.93005
192	60230.25425
193	60174.75554
194	60147.67875
195	60131.32738
196	60099.75697
197	60051.1953
198	60012.75356
199	60004.83726
200	59990.88482
201	59975.2043
202	59956.03632
203	59930.04513
204	59900.76615
205	59893.38627
206	59865.55174
207	59826.8759
208	59803.47101
209	59768.72437
210	59759.85402
211	59733.31782
212	59712.76437
213	59672.72581
214	59646.11466
215	59633.38535
216	59627.06519
217	59602.63509
218	59590.48692
219	59570.32258
220	59549.88819
221	59538.29276
222	59525.59314
223	59505.86941
224	59491.97819
225	59475.4295
226	59452.70886
227	59426.46363
228	59405.92094
229	59387.54872
230	59368.3397
231	59315.69934
232	59290.08462
233	59267.88765
234	59226.31595
235	59216.83672
236	59175.7048
237	59166.09147
238	59149.72052
239	59130.25688
240	59093.77474
241	59060.80231
242	59030.23786
243	59019.39279
244	58989.95289
245	58950.69338
246	58922.30529
247	58892.73319
248	58849.58711
249	58828.49976
250	58816.14844
251	58793.54925
252	58786.07605
253	58751.43388
254	58732.24144
255	58711.97349
256	58704.13731
257	58677.79832
258	58659.21636
259	58636.72725
260	58616.07176
261	58602.68725
262	58582.29311
263	58548.22739
264	58537.75182
265	58506.39323
266	58459.69739
267	58427.25026
268	58390.99082
269	58377.12813
270	58354.26483
271	58341.28524
272	58316.66868
273	58302.03482
274	58280.60356
275	58262.55575
276	58232.17938
277	58212.03614
278	58194.86411
279	58187.19208
280	58175.0123
281	58140.48137
282	58126.47533
283	58111.98444
284	58093.16003
285	58083.49355
286	58040.15408
287	57996.07676
288	57961.65162
289	57944.74286
290	57923.77884
291	57919.19755
292	57889.14082
293	57870.73042
294	57865.81937
295	57828.60739
296	57806.02171
297	57785.17363
298	57753.71893
299	57716.60017
300	57691.22838
301	57683.07062
302	57664.88358
303	57648.14792
304	57628.44627
305	57612.00795
306	57597.65167
307	57568.10815
308	57545.16383
309	57531.67987
310	57523.14509
311	57495.49198
312	57484.48409
313	57467.84746
314	57459.65902
315	57443.48406
316	57418.93039
317	57412.4183
318	57397.0006
319	57369.68979
320	57353.44476
321	57343.69439
322	57322.06837
323	57313.60386
324	57305.03391
325	57277.61208
326	57261.52975
327	57225.22175
328	57216.55913
329	57205.04687
330	57188.78364
331	57170.8427
332	57166.19622
333	57152.95535
334	57134.22328
335	57116.95219
336	57097.39948
337	57080.04069
338	57071.05467
339	57040.41398
340	57022.81291
341	57008.89338
342	56984.56658
343	56976.39184
344	56961.33936
345	56946.51305
346	56936.5226
347	56900.27449
348	56895.11497
349	56887.55232
350	56877.76603
351	56851.20744
352	56832.26566
353	56802.32311
354	56794.75472
355	56772.35038
356	56756.03308
357	56747.45892
358	56739.76566
359	56726.09862
360	56716.04995
361	56704.01629
362	56685.20349
363	56677.24548
364	56667.02524
365	56643.85357
366	56616.75939
367	56611.4136
368	56598.41149
369	56589.76487
370	56565.35657
371	56542.39147
372	56523.41573
373	56511.2495
374	56502.64792
375	56494.48304
376	56483.43111
377	56476.94887
378	56459.86742
379	56446.74402
380	56428.76313
381	56409.46214
382	56393.59631
383	56363.43055
384	56353.39889
385	56324.93832
386	56319.86872
387	56302.79039
388	56298.44567
389	56269.94559
390	56246.17457
391	56238.29839
392	56219.47422
393	56204.45319
394	56191.01635
395	56164.20718
396	56155.67302
397	56148.3825
398	56132.00526
399	56112.7047
400	56099.69785
401	56073.95952
402	56068.87744
403	56050.68293
404	56033.46701
405	56023.58002
406	56018.12811
407	56002.52799
408	55973.84804
409	55949.56007
410	55933.33834
411	55922.64611
412	55909.32427
413	55891.86329
414	55885.11679
415	55855.36335
416	55835.68858
417	55825.65716
418	55818.20858
419	55809.72906
420	55792.57493
421	55768.0502
422	55759.67845
423	55752.65232
424	55744.99109
425	55739.48189
426	55735.51196
427	55708.40087
428	55684.63834
429	55677.12716
430	55653.10657
431	55629.24889
432	55601.62719
433	55596.77535
434	55581.08707
435	55566.99066
436	55549.7941
437	55535.70748
438	55511.02381
439	55492.24514
440	55475.02834
441	55470.64281
442	55449.33697
443	55430.05145
444	55417.33179
445	55400.2537
446	55390.97641
447	55372.32978
448	55354.53151
