iter	Passed	Remaining
0	15	7494
1	32	7590
2	46	7212
3	61	7216
4	76	7104
5	90	7007
6	104	6937
7	121	7064
8	137	7089
9	153	7103
10	166	6971
11	181	6945
12	196	6939
13	211	6932
14	228	6960
15	243	6928
16	256	6874
17	272	6875
18	288	6889
19	302	6838
20	316	6786
21	332	6808
22	349	6824
23	368	6870
24	393	7037
25	411	7065
26	435	7179
27	456	7241
28	471	7201
29	486	7162
30	499	7106
31	515	7086
32	526	7003
33	537	6918
34	554	6927
35	565	6847
36	579	6817
37	595	6796
38	615	6829
39	634	6849
40	650	6839
41	667	6831
42	679	6781
43	691	6723
44	702	6666
45	719	6667
46	729	6599
47	742	6558
48	754	6516
49	765	6461
50	776	6411
51	790	6383
52	805	6367
53	818	6332
54	832	6308
55	847	6295
56	863	6287
57	878	6267
58	887	6209
59	901	6189
60	916	6178
61	932	6165
62	945	6138
63	958	6113
64	970	6079
65	979	6025
66	993	6007
67	1007	5983
68	1020	5957
69	1032	5931
70	1049	5925
71	1059	5888
72	1071	5856
73	1085	5838
74	1099	5820
75	1115	5811
76	1131	5803
77	1145	5786
78	1161	5778
79	1175	5758
80	1187	5732
81	1198	5702
82	1210	5671
83	1222	5646
84	1234	5621
85	1249	5607
86	1264	5597
87	1275	5567
88	1285	5534
89	1296	5504
90	1310	5486
91	1326	5479
92	1341	5467
93	1357	5457
94	1371	5441
95	1383	5417
96	1391	5380
97	1404	5361
98	1418	5344
99	1429	5318
100	1444	5306
101	1460	5297
102	1473	5280
103	1485	5255
104	1498	5238
105	1511	5218
106	1524	5200
107	1533	5169
108	1545	5146
109	1568	5162
110	1585	5155
111	1599	5141
112	1610	5116
113	1622	5095
114	1637	5084
115	1656	5083
116	1668	5061
117	1686	5060
118	1699	5039
119	1713	5025
120	1727	5010
121	1741	4995
122	1755	4981
123	1769	4964
124	1786	4959
125	1800	4944
126	1813	4925
127	1823	4901
128	1839	4891
129	1856	4883
130	1870	4869
131	1881	4846
132	1893	4825
133	1906	4809
134	1920	4795
135	1934	4778
136	1946	4759
137	1956	4736
138	1969	4719
139	1984	4706
140	1999	4692
141	2013	4678
142	2029	4669
143	2044	4657
144	2060	4647
145	2075	4634
146	2089	4618
147	2103	4604
148	2111	4578
149	2123	4558
150	2136	4542
151	2152	4531
152	2168	4521
153	2182	4507
154	2198	4495
155	2213	4483
156	2224	4462
157	2235	4442
158	2246	4422
159	2261	4410
160	2276	4397
161	2290	4382
162	2305	4371
163	2319	4356
164	2335	4344
165	2348	4329
166	2367	4322
167	2386	4318
168	2447	4388
169	2486	4416
170	2501	4404
171	2516	4388
172	2531	4374
173	2549	4365
174	2568	4359
175	2593	4362
176	2606	4344
177	2618	4324
178	2662	4357
179	2675	4340
180	2691	4326
181	2706	4312
182	2720	4296
183	2738	4286
184	2752	4270
185	2765	4252
186	2780	4237
187	2792	4218
188	2802	4195
189	2816	4180
190	2829	4163
191	2845	4149
192	2861	4137
193	2879	4126
194	2898	4117
195	2912	4101
196	2922	4080
197	2935	4062
198	2948	4045
199	2961	4028
200	2973	4009
201	2983	3988
202	2998	3972
203	3009	3953
204	3023	3937
205	3034	3917
206	3044	3897
207	3055	3878
208	3068	3860
209	3080	3843
210	3090	3822
211	3103	3805
212	3116	3789
213	3129	3772
214	3140	3753
215	3152	3736
216	3162	3716
217	3176	3701
218	3189	3684
219	3201	3667
220	3210	3646
221	3223	3629
222	3234	3611
223	3242	3590
224	3255	3573
225	3267	3557
226	3280	3540
227	3289	3520
228	3312	3514
229	3324	3498
230	3336	3481
231	3347	3463
232	3360	3446
233	3372	3429
234	3382	3411
235	3403	3403
236	3415	3386
237	3424	3367
238	3437	3351
239	3450	3335
240	3462	3318
241	3476	3303
242	3503	3301
243	3521	3290
244	3537	3277
245	3550	3261
246	3565	3248
247	3580	3234
248	3591	3216
249	3604	3201
250	3616	3184
251	3628	3167
252	3640	3150
253	3652	3134
254	3665	3118
255	3677	3102
256	3687	3085
257	3698	3067
258	3711	3052
259	3727	3039
260	3742	3025
261	3755	3009
262	3774	2999
263	3797	2992
264	3815	2980
265	3832	2968
266	3849	2955
